Date,TOTAL_REVENUE_USD
2018-01-01,1431500.4100000001
2018-01-08,255553.09
2018-01-15,816186.06
2018-01-22,3644312.81
2018-01-29,512394.54
2018-02-05,1814458.8599999999
2018-02-12,-290667.14999999997
2018-02-19,8184044.35
2018-02-26,257823.63
2018-03-05,582500.27
2018-03-12,2813244.03
2018-03-19,3045.32
2018-03-26,7850924.41
2018-04-02,3835243.14
2018-04-09,3774269.41425
2018-04-16,3713295.6885
2018-04-23,3652321.96275
2018-04-30,3591348.237
2018-05-07,3530374.51125
2018-05-14,3469400.7855
2018-05-21,3408427.05975
2018-05-28,3347453.334
2018-06-04,3286479.60825
2018-06-11,3225505.8825000003
2018-06-18,3164532.15675
2018-06-25,3103558.431
2018-07-02,3042584.70525
2018-07-09,2981610.9795
2018-07-16,2920637.25375
2018-07-23,2859663.528
2018-07-30,2798689.8022499997
2018-08-06,2737716.0765
2018-08-13,2676742.35075
2018-08-20,2615768.625
2018-08-27,2554794.89925
2018-09-03,2493821.1734999996
2018-09-10,2432847.44775
2018-09-17,2371873.722
2018-09-24,2310899.99625
2018-10-01,2249926.2704999996
2018-10-08,2188952.54475
2018-10-15,2127978.819
2018-10-22,2067005.09325
2018-10-29,2006031.3675
2018-11-05,1945057.6417499997
2018-11-12,1884083.9159999997
2018-11-19,1823110.1902499998
2018-11-26,1762136.4644999998
2018-12-03,1701162.7387499996
2018-12-10,1640189.0129999998
2018-12-17,1579215.2872499996
2018-12-24,1518241.5614999998
2018-12-31,1457267.8357499996
2019-01-07,1396294.1099999999
2019-01-14,1584903.1
2019-01-21,-960266.22
2019-01-28,3784211.17
2019-02-04,0.0
2019-02-11,2084356.0
2019-02-18,1010027.3299999998
2019-02-25,5540258.22
2019-03-04,0.0
2019-03-11,1503464.85
2019-03-18,931171.2000000001
2019-03-25,1228377.48
2019-04-01,9891071.91
2019-04-08,4002040.54
2019-04-15,3917063.9717948716
2019-04-22,3832087.4035897437
2019-04-29,3747110.835384615
2019-05-06,3662134.2671794873
2019-05-13,3577157.698974359
2019-05-20,3492181.130769231
2019-05-27,3407204.5625641025
2019-06-03,3322227.9943589745
2019-06-10,3237251.426153846
2019-06-17,3152274.8579487177
2019-06-24,3067298.2897435897
2019-07-01,2982321.7215384617
2019-07-08,2897345.1533333333
2019-07-15,2812368.585128205
2019-07-22,2727392.016923077
2019-07-29,2642415.448717949
