Date,Actual,Forecast
2018-01-01,1431500.4100000001,2498686.3559188144
2018-01-08,255553.09,1676005.1216540192
2018-01-15,816186.06,986606.5873922734
2018-01-22,3644312.81,992480.6660450483
2018-01-29,512394.54,2283701.482664342
2018-02-05,1814458.8599999999,1495287.880616853
2018-02-12,-290667.14999999997,1696003.7974473475
2018-02-19,8184044.35,845169.1640819644
2018-02-26,257823.63,4248824.745896298
2018-03-05,582500.27,2349828.6227351297
2018-03-12,2813244.03,1561095.9024388692
2018-03-19,3045.32,2178836.1035991013
2018-03-26,7850924.41,1215530.5034485138
2018-04-02,3835243.14,4280867.161773786
2018-04-09,3774269.41425,3979190.490268424
2018-04-16,3713295.6885,3803123.8504560394
2018-04-23,3652321.96275,3688915.618998048
2018-04-30,3591348.237,3605170.422037619
2018-05-07,3530374.51125,3536427.1706169033
2018-05-14,3469400.7855,3475071.836185565
2018-05-21,3408427.05975,3417354.784355932
2018-05-28,3347453.3340000003,3361429.4554583807
2018-06-04,3286479.60825,3306386.4854693576
2018-06-11,3225505.8825000003,3251778.045412122
2018-06-18,3164532.15675,3197383.5956708384
2018-06-25,3103558.431,3143094.5284405663
2018-07-02,3042584.70525,3088857.3582953447
2018-07-09,2981610.9795,3034645.7455923497
2018-07-16,2920637.25375,2980446.7190076783
2018-07-23,2859663.528,2926253.890632244
2018-07-30,2798689.8022499997,2872064.114651261
2018-08-06,2737716.0765,2817875.8418644317
2018-08-13,2676742.35075,2763688.309346496
2018-08-20,2615768.625,2709501.141384287
2018-08-27,2554794.89925,2655314.1529526203
2018-09-03,2493821.1735,2601127.25293327
2018-09-10,2432847.4477500003,2546940.396453796
2018-09-17,2371873.722,2492753.5614161408
2018-09-24,2310899.99625,2438566.7369378074
2018-10-01,2249926.2704999996,2384379.9176595593
2018-10-08,2188952.54475,2330193.100942165
2018-10-15,2127978.819,2276006.2854859
2018-10-22,2067005.09325,2221819.470650695
2018-10-29,2006031.3675,2167632.656121339
2018-11-05,1945057.64175,2113445.841742604
2018-11-12,1884083.916,2059259.0274380436
2018-11-19,1823110.1902499998,2005072.2131700113
2018-11-26,1762136.4644999998,1950885.398919968
2018-12-03,1701162.73875,1896698.584678784
2018-12-10,1640189.0129999998,1842511.7704419624
2018-12-17,1579215.28725,1788324.9562072894
2018-12-24,1518241.5614999998,1734138.1419736743
2018-12-31,1457267.8357499996,1679951.3277405805
2019-01-07,1396294.1099999999,1625764.513507743
2019-01-14,1584903.1,1571577.6992750322
2019-01-21,-960266.22,1629963.384253088
2019-01-28,3784211.17,510735.80620568944
2019-02-04,0.0,2099519.199317734
2019-02-11,2084356.0,1175096.3179428582
2019-02-18,1010027.3299999998,1659985.2658498941
2019-02-25,5540258.22,1414207.316323233
2019-03-04,0.0,3336498.79043673
2019-03-11,1503464.85,1784264.1431405258
2019-03-18,931171.2000000001,1697971.644988453
2019-03-25,1228377.48,1397346.7441608727
2019-04-01,9891071.91,1383352.592715008
2019-04-08,4002040.54,5283707.354991041
2019-04-15,3917063.9717948716,4548285.884174379
2019-04-22,3832087.4035897437,4147789.2663295753
2019-04-29,3747110.835384615,3912231.056324589
2019-05-06,3662134.2671794873,3757899.0621090285
2019-05-13,3577157.698974359,3643568.0489741024
2019-05-20,3492181.130769231,3548936.0760057317
2019-05-27,3407204.5625641025,3464005.169686235
2019-06-03,3322227.9943589745,3383851.688730116
2019-06-10,3237251.426153846,3306050.917422197
2019-06-17,3152274.8579487177,3229408.7707431777
2019-06-24,3067298.2897435897,3153337.2048970787
2019-07-01,2982321.7215384617,3077546.629527772
2019-07-08,2897345.1533333333,3001894.4318316914
2019-07-15,2812368.585128205,2926310.3801477696
2019-07-22,2727392.016923077,2850759.8879165016
