Date,Actual,Forecast
2018-01-01,1431500.4100000001,1.4847876e+06
2018-01-08,255553.09,1.4349558e+06
2018-01-15,816186.06,1.3848895e+06
2018-01-22,3644312.81,1.4369058e+06
2018-01-29,512394.54,474474.6
2018-02-05,1814458.8599999999,1.8296769e+06
2018-02-12,-290667.14999999997,1.0310341e+06
2018-02-19,8184044.35,1.4584675e+06
2018-02-26,257823.63,1.2633906e+06
2018-03-05,582500.27,3.1357572e+06
2018-03-12,2813244.03,1.7571575e+06
2018-03-19,3045.32,1.7054361e+06
2018-03-26,7850924.41,1.4406709e+06
2018-04-02,3835243.14,1.4031891e+06
2018-04-09,3774269.41425,5.38316e+06
2018-04-16,3713295.6885,4.6087115e+06
2018-04-23,3652321.96275,4.2041805e+06
2018-04-30,3591348.237,4.0065615e+06
2018-05-07,3530374.51125,3.8679552e+06
2018-05-14,3469400.7855,3.7365435e+06
2018-05-21,3408427.05975,3.5998102e+06
2018-05-28,3347453.3340000003,3.4576758e+06
2018-06-04,3286479.60825,3.3132055e+06
2018-06-11,3225505.8825000003,3.1696252e+06
2018-06-18,3164532.15675,3.0295115e+06
2018-06-25,3103558.431,2.8947215e+06
2018-07-02,3042584.70525,2.7665055e+06
2018-07-09,2981610.9795,2.6456558e+06
2018-07-16,2920637.25375,2.5326108e+06
2018-07-23,2859663.528,2.4275392e+06
2018-07-30,2798689.8022499997,2.330385e+06
2018-08-06,2737716.0765,2.2409045e+06
2018-08-13,2676742.35075,2.15869e+06
2018-08-20,2615768.625,2.0831878e+06
2018-08-27,2554794.89925,2.0137232e+06
2018-09-03,2493821.1735,1.9495176e+06
2018-09-10,2432847.4477500003,1.8897158e+06
2018-09-17,2371873.722,1.8334178e+06
2018-09-24,2310899.99625,1.7797065e+06
2018-10-01,2249926.2704999996,1.7276849e+06
2018-10-08,2188952.54475,1.676507e+06
2018-10-15,2127978.819,1.6254072e+06
2018-10-22,2067005.09325,1.573725e+06
2018-10-29,2006031.3675,1.520926e+06
2018-11-05,1945057.64175,1.4666106e+06
2018-11-12,1884083.916,1.4105166e+06
2018-11-19,1823110.1902499998,1.352516e+06
2018-11-26,1762136.4644999998,1.2925996e+06
2018-12-03,1701162.73875,1.2308588e+06
2018-12-10,1640189.0129999998,1.167468e+06
2018-12-17,1579215.28725,1.1026582e+06
2018-12-24,1518241.5614999998,1.0366964e+06
2018-12-31,1457267.8357499996,969867.7
2019-01-07,1396294.1099999999,902456.25
2019-01-14,1584903.1,834736.06
2019-01-21,-960266.22,587668.1
2019-01-28,3784211.17,632751.25
2019-02-04,0.0,861858.25
