Date,Actual,Forecast
2018-01-01,1431500.4100000001,722515.3759504018
2018-01-08,255553.09,1088849.8901889853
2018-01-15,816186.06,1299361.1217154684
2018-01-22,3644312.81,1088513.4404361972
2018-01-29,512394.54,845260.8823598804
2018-02-05,1814458.8599999999,1130970.0867315272
2018-02-12,-290667.14999999997,1854313.5908416675
2018-02-19,8184044.35,2199777.210843812
2018-02-26,257823.63,1564250.1654643735
2018-03-05,582500.27,459093.13694870326
2018-03-12,2813244.03,209688.59778686025
2018-03-19,3045.32,1616319.7548544486
2018-03-26,7850924.41,4011340.19465996
2018-04-02,3835243.14,5808094.053562842
2018-04-09,3774269.41425,6004097.149545135
2018-04-16,3713295.6885,5043304.112316729
2018-04-23,3652321.96275,4179206.106893768
2018-04-30,3591348.237,4139683.446420225
2018-05-07,3530374.51125,4565209.157001581
2018-05-14,3469400.7855,4684265.306059839
2018-05-21,3408427.05975,4278832.670580651
2018-05-28,3347453.3340000003,3816808.471425263
2018-06-04,3286479.60825,3752310.694888507
2018-06-11,3225505.8825000003,3963707.293202783
2018-06-18,3164532.15675,3991241.285730185
2018-06-25,3103558.431,3670553.2254587347
2018-07-02,3042584.70525,3315812.6085098693
2018-07-09,2981610.9795,3266045.027439003
2018-07-16,2920637.25375,3438086.5882873107
2018-07-23,2859663.528,3465690.504107293
2018-07-30,2798689.8022499997,3200274.776076864
2018-08-06,2737716.0765,2892542.1355812163
2018-08-13,2676742.35075,2834386.5732695824
2018-08-20,2615768.625,2964444.5045221043
2018-08-27,2554794.89925,2965377.29946557
2018-09-03,2493821.1735,2704093.7245843946
2018-09-10,2432847.4477500003,2410676.487874601
2018-09-17,2371873.722,2358256.248394381
2018-09-24,2310899.99625,2485732.3175977226
2018-10-01,2249926.2704999996,2479711.688878866
2018-10-08,2188952.54475,2205558.0599546093
2018-10-15,2127978.819,1898763.1840547102
2018-10-22,2067005.09325,1847881.3182165902
2018-10-29,2006031.3675,1993610.1733983343
2018-11-05,1945057.64175,1996477.5588460732
2018-11-12,1884083.916,1698302.5806336994
2018-11-19,1823110.1902499998,1354425.3731054598
2018-11-26,1762136.4644999998,1299667.9181242054
2018-12-03,1701162.73875,1477270.2003489542
2018-12-10,1640189.0129999998,1479649.4060275645
2018-12-17,1579215.28725,1088656.586690501
2018-12-24,1518241.5614999998,610579.0046167927
2018-12-31,1457267.8357499996,518652.1447107397
2019-01-07,1396294.1099999999,848180.8671375859
2019-01-14,1584903.1,1117865.646352765
2019-01-21,-960266.22,966293.6772852207
2019-01-28,3784211.17,675608.5123219031
2019-02-04,0.0,841990.1861423461
2019-02-11,2084356.0,1529118.8144010003
2019-02-18,1010027.3299999998,2003429.23582077
2019-02-25,5540258.22,1537276.860515391
2019-03-04,0.0,422537.9804592027
2019-03-11,1503464.85,-81755.67141730421
2019-03-18,931171.2000000001,1024599.0260055241
2019-03-25,1228377.48,3342133.509214685
2019-04-01,9891071.91,5346199.004431325
2019-04-08,4002040.54,5828052.364420524
2019-04-15,3917063.9717948716,4978364.149381791
2019-04-22,3832087.4035897437,4004311.9505242943
2019-04-29,3747110.835384615,3806483.5316758654
2019-05-06,3662134.2671794873,4199402.822708751
2019-05-13,3577157.698974359,4404278.620503611
2019-05-20,3492181.130769231,4062360.6367480434
