Date,Actual,Forecast
2018-01-01,1431500.4100000001,0.0
2018-01-08,255553.09,1217584.3494914134
2018-01-15,816186.06,687726.9553003234
2018-01-22,3644312.81,729273.8336019521
2018-01-29,512394.54,1924269.7481259305
2018-02-05,1814458.8599999999,1300234.849439474
2018-02-12,-290667.14999999997,1477058.1463054235
2018-02-19,8184044.35,728659.7826230171
2018-02-26,257823.63,3715941.558319142
2018-03-05,582500.27,2222216.3021312184
2018-03-12,2813244.03,1505186.0276974598
2018-03-19,3045.32,1995123.4571577385
2018-03-26,7850924.41,1143966.8199880715
2018-04-02,3835243.14,3814522.8619328826
2018-04-09,3774269.41425,3717293.699387226
2018-04-16,3713295.6885,3637633.771443061
2018-04-23,3652321.96275,3567952.268568222
2018-04-30,3591348.237,3503939.2578185597
2018-05-07,3530374.51125,3443147.69933679
2018-05-14,3469400.7855,3384188.346952554
2018-05-21,3408427.05975,3326272.6132620666
2018-05-28,3347453.3340000003,3268953.0050602183
2018-06-04,3286479.60825,3211975.7411941825
2018-06-11,3225505.8825000003,3155197.0700064264
2018-06-18,3164532.15675,3098535.757225171
2018-06-25,3103558.431,3041946.1127166734
2018-07-02,3042584.70525,2985402.6801604987
2018-07-09,2981610.9795,2928891.5497440156
2018-07-16,2920637.25375,2872405.4321891046
2018-07-23,2859663.528,2815940.8692847234
2018-07-30,2798689.8022499997,2759496.658436709
2018-08-06,2737716.0765,2703072.967562584
2018-08-13,2676742.35075,2646670.843136976
2018-08-20,2615768.625,2590291.9428135124
2018-08-27,2554794.89925,2533938.3971097483
2018-09-03,2493821.1735,2477612.7461641305
2018-09-10,2432847.4477500003,2421317.921187885
2018-09-17,2371873.722,2365057.253699671
2018-09-24,2310899.99625,2308834.5033347136
2018-10-01,2249926.2704999996,2252653.8994728164
2018-10-08,2188952.54475,2196520.194553106
2018-10-15,2127978.819,2140438.7285442483
2018-10-22,2067005.09325,2084415.5050964039
2018-10-29,2006031.3675,2028457.2806736946
2018-11-05,1945057.64175,1972571.6686295709
2018-11-12,1884083.916,1916767.2608436202
2018-11-19,1823110.1902499998,1861053.7702599072
2018-11-26,1762136.4644999998,1805442.1985274076
